"song_popularity","song_duration_ms","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","audio_mode","speechiness","tempo","time_signature","audio_valence"
57,279440,0.415,0.541,0.946,0.000389,6,0.0468,-7.459,1,0.058,101.169,4,0.728
74,217652,0.267,0.815,0.626,1.31e-05,6,0.275,-5.139,1,0.103,109.989,4,0.571
36,194983,0.24,0.499,0.877,0,5,0.189,-3.471,0,0.0594,93.586,4,0.808
46,193939,0.133,0.608,0.788,0.155,5,0.412,-7.891,1,0.0458,118.026,4,0.556
30,141866,0.025,0.653,0.536,0.000105,11,0.258,-12.982,0,0.0522,131.028,4,0.857
91,145603,0.0945,0.9,0.653,0,1,0.528,-6.962,0,0.289,112.503,4,0.399
62,304226,0.0555,0.746,0.978,4.02e-05,9,0.026,-5.324,1,0.0978,153.897,4,0.652
56,179261,0.864,0.494,0.2,2.12e-05,3,0.113,-13.245,0,0.0304,148.299,4,0.273
95,189466,0.216,0.448,0.612,0,2,0.08,-6.106,1,0.0708,97.773,4,0.213
44,189466,0.0179,0.638,0.817,0,10,0.338,-5.021,0,0.0636,101.028,4,0.716
46,243026,0.244,0.679,0.818,0,9,0.158,-5.67,0,0.0315,95.013,4,0.392
47,326121,0.00193,0.385,0.975,0.708,5,0.0781,-3.808,1,0.032,170.026,4,0.323
0,207786,0.376,0.636,0.698,0.00318999999999999,9,0.115,-7.667,0,0.0471,149.893,4,0.274
81,304041,0.307,0.92,0.674,0,1,0.104,-5.662,0,0.264,141.967,4,0.741
26,179428,0.0439,0.549,0.939,8.91e-06,0,0.0704,-1.6,1,0.0421,104.991,4,0.733
72,369600,0.729,0.483,0.721,0,0,0.189,-6.836,1,0.032,95.261,4,0.562
84,205946,0.0771,0.652,0.713,1.02e-05,8,0.144,-5.311,1,0.0368,100.023,4,0.152
62,218548,0.0462,0.792,0.665,0,0,0.103,-3.591,1,0.161,125.043,4,0.569
21,226346,0.603,0.658,0.394,5.65e-06,1,0.176,-7.537,1,0.025,78.926,3,0.232
68,209733,0.0227,0.749,0.717,0,11,0.263,-6.358,0,0.0797,104.967,4,0.4
69,176026,0.315,0.559,0.466,0.0039,5,0.0933,-6.769,1,0.0362,117.21,4,0.623
77,356400,0.141,0.449,0.901,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696
71,179423,0.71,0.646,0.648,0.00316,3,0.108,-8.602,1,0.0372,75.004,4,0.466
80,204022,0.0784,0.725,0.834,1.27e-05,5,0.0834,-3.913,0,0.037,120.026,4,0.859
72,218763,0.282,0.651,0.568,0,5,0.0862,-6.774,1,0.0275,93.006,4,0.805
27,155160,0.47,0.742,0.327,5.23e-06,7,0.0669,-13.062,1,0.317,174.334,4,0.903
66,170625,0.00125,0.614,0.972,0.0186,5,0.328,-3.927,0,0.088,127.966,4,0.411
61,178584,0.389,0.568,0.584,0.00729,2,0.114,-8.711,1,0.0654,93.888,4,0.401
90,180897,0.268,0.738,0.629,0.00114,6,0.163,-4.882,0,0.0495,146.067,4,0.319
47,167800,0.262,0.628,0.505,0.00355,0,0.132,-8.091,1,0.164,137.04,4,0.0679
85,217212,0.439,0.573,0.34,0,7,0.0886,-6.476,1,0.0301,95.787,4,0.304
71,213458,0.471,0.594,0.68,0,1,0.0634,-5.228,0,0.308,105.131,4,0.818
36,204093,0.128,0.897,0.524,0,8,0.119,-3.528,1,0.095,127.072,4,0.133
79,253813,0.03,0.649,0.552,6.47e-06,1,0.111,-5.419,0,0.0292,89.969,4,0.158
21,189834,0.723,0.841,0.617,0,0,0.102,-5.69,0,0.22,89.963,4,0.63
22,229826,0.387,0.471,0.494,0.0944,7,0.617,-10.407,1,0.0312,79.255,4,0.373
82,238440,0.355,0.761,0.386,0,4,0.0953,-6.158,1,0.0399,134.943,3,0.526
51,142640,0.0304,0.906,0.672,0.000926,4,0.105,-5.828,0,0.0505,123.02,4,0.734
87,218868,0.0445,0.74,0.669,0,0,0.184,-5.199,1,0.0373,122.007,4,0.536
70,192866,0.0752,0.688,0.706,0,2,0.0924,-7.925,1,0.042,131.705,4,0.842
19,229162,0.591,0.276,0.283,0.000138,5,0.0792,-8.588,0,0.0378,172.942,4,0.222
90,343099,0.0367,0.85,0.785,0,8,0.155,-4.963,0,0.345,145.063,4,0.718
51,255186,0.00511,0.657,0.49,8.96e-06,8,0.0918,-6.507,0,0.0378,133.998,4,0.434
56,222653,0.108,0.752,0.856,0,2,0.745,-5.833,1,0.233,103.741,4,0.403
70,208506,0.0414,0.555,0.717,0,2,0.116,-5.114,1,0.0269,112.03,4,0.374
49,249880,0.427,0.589,0.641,0,8,0.0558,-5.533,1,0.0313,204.003,4,0.795
73,190330,0.0125,0.402,0.75,0.00191999999999999,0,0.396,-6.607,1,0.0567,146.223,4,0.502
68,224066,0.686,0.616,0.597,0,8,0.104,-5.328,1,0.0415,165.508,4,0.362
57,308946,0.0248,0.577,0.441,0.0706,5,0.123,-8.455,1,0.075,126.021,3,0.171
58,199316,0.833,0.744,0.601,0.0242,10,0.131,-5.241,1,0.0349,143.542,4,0.905
49,207573,0.00633,0.753,0.802,0.000127,4,0.919,-6.198,0,0.0354,129.992,4,0.928
53,192986,0.0448,0.586,0.749,0,4,0.172,-4.101,0,0.0315,149.869,4,0.365
65,215445,0.295,0.655,0.427,0.00108,2,0.0788,-11.684,0,0.0799,107.992,4,0.224
61,162947,0.207,0.682,0.962,0,10,0.164,-2.778,0,0.0725,95.057,4,0.962
32,214840,0.0168,0.592,0.82,4.86e-05,2,0.324,-5.997,1,0.0342,110.989,4,0.521
67,174774,0.00418,0.629,0.596,0,0,0.286,-4.44,1,0.193,172.032,4,0.649
68,212373,0.0364,0.454,0.66,0,0,0.181,-4.357,1,0.168,184.353,4,0.568
53,252468,2.02e-05,0.373,0.97,0.668,1,0.446,-4.905,1,0.181,153.786,4,0.277
46,379360,0.391,0.477,0.456,0,4,0.141,-7.726,1,0.0349,144.71,3,0.337
50,127773,0.9,0.718,0.0918,0.865,0,0.112,-19.474,1,0.0683,127.975,4,0.162
25,254560,0.752,0.605,0.61,6.89e-06,9,0.156,-7.723,1,0.0765,101.864,4,0.919
38,255013,0.321,0.523,0.812,0,0,0.0553,-5.104,1,0.0316,103.656,4,0.634
87,218868,0.0445,0.74,0.669,0,0,0.184,-5.199,1,0.0373,122.007,4,0.536
56,202247,0.479,0.458,0.502,0,1,0.102,-7.483,1,0.361,174.098,3,0.612
75,251250,0.253,0.811,0.57,0,5,0.148,-8.093,1,0.129,128.066,4,0.814
52,201190,0.0299,0.602,0.867,3.94e-05,8,0.138,-5.221,0,0.104,125.88,4,0.496
74,142906,0.0541,0.789,0.53,0,2,0.164,-6.2,1,0.293,75.515,4,0.367
19,217160,7e-04,0.385,0.823,0,7,0.0842,-4.142,1,0.0756,178.01,4,0.609
61,148292,0.000772,0.679,0.839,0.00173,0,0.0772,-5.579,1,0.0303,123.041,4,0.566
76,252133,0.113,0.8,0.956,0,11,0.107,-4.432,0,0.178,90.025,4,0.65
23,241257,0.73,0.755,0.881,0.0028,0,0.923,-3.246,1,0.0427,132.789,4,0.915
20,175399,0.244,0.738,0.776,0,7,0.469,-7.32,1,0.235,95.942,4,0.833
73,206400,0.122,0.807,0.785,0,9,0.123,-4.947,1,0.204,99.975,4,0.424
12,163693,0.00086199999999999,0.266,0.831,0,4,0.0555,-9.07,1,0.0453,175.514,4,0.778
62,141000,0.573,0.666,0.55,1.84e-06,10,0.122,-8.672,1,0.0612,95.552,4,0.961
52,133880,0.0842,0.927,0.789,0,8,0.0751,-4.762,1,0.163,143.029,4,0.965
69,252760,0.0112,0.617,0.886,9.63e-05,9,0.0523,-5.953,1,0.055,96.328,4,0.629
66,154386,0.495,0.748,0.735,0,2,0.227,-4.782,1,0.038,106.942,3,0.952
52,256613,0.0553,0.834,0.591,0,10,0.074,-7.543,0,0.305,104.944,4,0.9
76,169973,0.836,0.773,0.437,2.42e-05,9,0.544,-8.281,1,0.0963,103.861,4,0.707
29,226280,0.00209,0.716,0.815,0.00107,0,0.102,-5.883,0,0.0298,117.001,4,0.702
96,179404,0.088,0.931,0.387,0,1,0.136,-9.127,1,0.412,125.978,4,0.376
2,282146,0.00864,0.52,0.692,0.00301,7,0.105,-7.339,1,0.0304,112.683,4,0.279
62,239293,3.31e-05,0.53,0.903,0.182,2,0.259,-4.396,0,0.0483,129.983,4,0.747
39,334196,0.18,0.318,0.655,0,10,0.196,-7.909,0,0.173,81.031,4,0.761
90,187213,0.614,0.845,0.663,0,10,0.114,-5.233,0,0.27,94.215,4,0.508
53,145533,6.59e-05,0.47,0.913,0.267,7,0.222,-10.196,1,0.0343,130.425,4,0.977
31,148837,0.0814,0.773,0.388,0.887,3,0.165,-14.714,0,0.0678,129.021,4,0.78
43,130360,0.905,0.574,0.588,0,2,0.114,-8.101,0,0.0543,131.368,4,0.942
41,203182,0.0701,0.642,0.507,7.75e-05,10,0.122,-9.686,0,0.162,89.841,4,0.489
52,121986,0.0888,0.88,0.539,0.000412,7,0.112,-7.057,1,0.254,146.995,4,0.433
72,295600,0.245,0.42,0.33,0.000679,9,0.0677,-13.925,1,0.0275,157.143,3,0.175
31,172000,0.761,0.819,0.457,0,2,0.0576,-11.173,1,0.0409,106.091,4,0.805
56,308133,0.6,0.518,0.25,0.000601,9,0.139,-17.864,1,0.0269,87.689,4,0.642
31,224946,0.0251,0.815,0.808,5.37e-06,6,0.12,-4.614,1,0.0511,110.063,4,0.746
59,354320,0.288,0.392,0.402,0,0,0.243,-9.961,0,0.0536,143.883,4,0.228
59,189400,0.422,0.674,0.586,0.00242,1,0.148,-7.698,0,0.0721,107.926,4,0.305
46,140033,0.366,0.788,0.726,0.673,2,0.131,-7.247,0,0.436,130.197,3,0.643
43,268833,0.602,0.805,0.365,0,6,0.714,-12.469,1,0.407,94.971,4,0.764
31,329066,0.725,0.733,0.685,7.97e-06,5,0.0775,-13.847,1,0.0412,109.629,4,0.937
42,220000,0.913,0.185,0.0924,0.888,10,0.343,-24.656,0,0.0404,80.135,5,0.0389
16,238653,0.0261,0.727,0.873,0,2,0.246,-4.071,1,0.338,95.122,4,0.674
57,266156,0.808,0.178,0.339,0.00172,5,0.154,-7.969,0,0.0301,74.543,4,0.0878
58,164800,0.0174,0.379,0.946,0.243,2,0.181,-4.71,1,0.113,149.929,4,0.506
20,214346,0.0118,0.688,0.604,0.185,11,0.197,-10.702,0,0.18,168.024,4,0.603
39,438480,0.138,0.457,0.828,1.42e-05,7,0.145,-2.607,1,0.316,175.345,4,0.783
60,140000,0.0897,0.639,0.744,0,9,0.0728,-6.666,1,0.0446,114.151,4,0.122
18,207986,0.00039,0.354,0.942,6.36e-06,7,0.431,-3.245,1,0.237,119.992,4,0.242
43,110654,0.00567,0.619,0.794,0.00244,10,0.483,-8.692,0,0.0703,117.999,4,0.536
51,137195,0.844,0.42,0.0881,0.214,4,0.151,-12.717,1,0.293,211.644,3,0.636
46,197879,1.37e-05,0.323,0.915,0.335,6,0.364,-3.179,1,0.0992,147.233,4,0.411
67,181974,0.132,0.65,0.527,0,5,0.0902,-7.465,0,0.532,120.094,5,0.705
5,298520,0.0402,0.551,0.878,0.12,9,0.111,-3.952,0,0.0285,135.988,4,0.514
4,226026,0.00118,0.494,0.832,0.00437,4,0.18,-4.298,1,0.0373,179.974,4,0.767
83,169180,0.733,0.649,0.548,0,1,0.136,-5.692,0,0.0318,150.036,4,0.506
62,349319,0.0161,0.609,0.816,0.0156,6,0.114,-6.528,0,0.034,118.007,4,0.422
67,260386,0.278,0.344,0.477,0.0128,4,0.136,-10.266,1,0.0338,143.78,4,0.182
55,161523,1.37e-05,0.282,0.961,0.0478,7,0.303,-3.273,1,0.116,172.954,4,0.469
59,214266,0.0664,0.698,0.736,2.16e-05,2,0.119,-5.525,1,0.0481,127.979,4,0.822
85,225280,0.018,0.573,0.902,0.00125,6,0.0928,-7.638,0,0.054,84.412,4,0.876
60,176702,0.196,0.921,0.965,0.00020099999999999,1,0.323,-1.396,1,0.178,120.902,4,0.507
69,270426,0.0296,0.6,0.931,7.1e-05,7,0.392,-4.647,1,0.0734,140.123,4,0.542
20,198693,0.012,0.5,0.791,0,6,0.0645,-3.711,1,0.0505,149.093,4,0.444
51,177391,0.675,0.848,0.686,0.0968,8,0.101,-7.769,1,0.0362,115.048,4,0.967
75,264946,0.0228,0.845,0.506,1.03e-06,1,0.0879,-5.971,1,0.0409,99.051,4,0.647
2,179050,1.11e-05,0.445,0.914,7.15e-05,0,0.278,-3.875,1,0.0504,149.917,4,0.424
60,191895,0.986,0.514,0.0684,0.902,6,0.065,-19.78,1,0.0523,168.643,4,0.24
12,205442,0.0661,0.471,0.697,3.64e-05,9,0.0962,-4.753,1,0.105,169.99,4,0.797
65,242240,0.0876,0.647,0.868,0.124,0,0.129,-6.427,0,0.105,121.822,4,0.803
63,231560,0.0251,0.813,0.699,0.0135,7,0.0527,-8.656,1,0.0458,117.548,4,0.732
83,215151,0.266,0.817,0.74,0,11,0.0992,-4.566,0,0.283,130.04,4,0.674
53,323480,0.00969,0.589,0.621,0.00104,5,0.181,-6.902,0,0.0468,140.03,4,0.401
70,252773,0.103,0.68,0.678,0.00828,1,0.204,-11.548,1,0.0754,131.165,4,0.251
2,376946,0.317,0.868,0.64,0.0583,0,0.0641,-6.513,0,0.0731,112.265,4,0.894
2,210699,0.000668,0.292,0.871,8.29e-05,2,0.179,-5.04,1,0.155,120.122,4,0.628
46,263666,0.335,0.515,0.274,0.00291,0,0.119,-13.731,1,0.0282,142.776,4,0.187
62,182857,0.424,0.788,0.721,2.86e-06,11,0.0897,-4.577,1,0.152,105.23,4,0.653
46,198992,0.0827,0.31,0.862,0.00838,11,0.313,-6.592,0,0.0527,131.344,4,0.385
58,214409,0.0049,0.551,0.896,0.00514,11,0.252,-4.905,1,0.0443,106.483,4,0.54
74,178266,0.000618,0.574,0.911,0,9,0.0769,-5.176,1,0.0715,98.075,4,0.573
67,182400,0.0657,0.642,0.933,1.04e-05,4,0.087,-2.887,0,0.0871,150.039,4,0.158
42,243866,0.896,0.575,0.202,0.00528,9,0.139,-11.926,0,0.0317,149.509,4,0.284
4,239988,0.0964,0.543,0.634,0,1,0.126,-6.749,0,0.0307,128.124,4,0.306
61,199853,0.627,0.658,0.396,0,10,0.176,-12.753,1,0.0319,97.957,4,0.485
58,153606,0.0288,0.593,0.561,8.92e-06,10,0.121,-7.073,0,0.326,89.982,4,0.338
66,214205,0.0192,0.67,0.829,0.000225,5,0.089,-7.2,0,0.0427,125.01,4,0.349
38,184773,0.431,0.429,0.655,0,8,0.0805,-3.716,0,0.113,161.543,4,0.468
57,231721,0.000686,0.585,0.556,0.000132,2,0.151,-5.075,1,0.0274,142.144,4,0.414
27,213000,0.192,0.819,0.642,0.617,1,0.181,-6.908,1,0.171,79.985,4,0.757
67,179760,0.896,0.593,0.205,5.46e-05,9,0.119,-14.601,1,0.0479,140.279,4,0.377
80,281613,0.386,0.602,0.522,1.44e-05,10,0.0941,-9.031,1,0.0285,136.637,4,0.36
48,284213,0.0247,0.83,0.722,1.21e-06,0,0.0741,-6.099,1,0.0595,109.987,4,0.29
94,238173,0.0104,0.588,0.67,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,4,0.505
49,192026,0.0767,0.628,0.713,0.00029,0,0.106,-5.139,0,0.0432,140.026,4,0.334
69,206773,0.00020899999999999,0.968,0.353,2.48e-06,6,0.094,-7.422,1,0.331,130.016,4,0.0971
77,156695,0.199,0.73,0.86,0.00182,7,0.322,-3.532,1,0.191,129.952,4,0.647
72,312426,0.317,0.652,0.549,0,6,0.104,-7.555,0,0.039,120.073,4,0.186
20,227226,0.399,0.645,0.734,0.00044699999999999,5,0.0512,-5.832,0,0.0469,106.159,4,0.661
72,198087,0.00294,0.956,0.544,0,1,0.104,-6.41,1,0.0822,104.011,4,0.127
82,216857,0.308,0.812,0.66,0,6,0.0617,-3.353,0,0.0854,140.048,4,0.358
68,208316,0.338,0.507,0.799,0.000124,6,0.314,-3.718,0,0.0368,127.943,4,0.623
59,232403,0.0222,0.54,0.939,9.66e-05,0,0.105,-1.712,1,0.0878,176.085,4,0.672
17,168000,0.331,0.598,0.531,1.51e-06,7,0.0938,-7.484,1,0.0954,70.469,3,0.696
53,203400,0.175,0.613,0.755,0.00303,10,0.168,-4.897,1,0.127,166.036,4,0.806
65,267933,0.039,0.758,0.957,0,7,0.133,-2.282,1,0.0357,111.119,4,0.966
35,103873,0.00114,0.0855,0.951,0.00135999999999999,7,0.87,-4.064,0,0.0664,190.203,4,0.227
69,321293,0.0027,0.649,0.785,0,9,0.0859,-6.031,0,0.0369,137.618,4,0.294
52,210000,0.0341,0.554,0.909,0.00235,9,0.189,-3.041,1,0.244,79.616,4,0.917
25,185533,0.986,0.579,0.194,0.0281,3,0.129,-21.411,1,0.83,74.209,4,0.638
46,259453,0.0602,0.766,0.479,0.0206,0,0.11,-7.39,0,0.0469,97.995,4,0.408
33,223120,0.198,0.748,0.281,9.88e-05,0,0.0831,-12.665,1,0.0678,93.994,4,0.489
66,160613,0.000799,0.734,0.746,0,7,0.119,-7.797,1,0.0542,84.177,4,0.562
52,204114,0.00021099999999999,0.518,0.901,0,8,0.277,-5.17,1,0.0638,115.289,4,0.529
71,254466,0.0023,0.978,0.787,4.6e-06,2,0.102,-2.79,1,0.0394,116.006,4,0.597
67,155644,0.00401,0.606,0.941,0.136,1,0.398,-3.203,1,0.0895,128.018,4,0.396
30,195620,0.302,0.759,0.642,0.00121,5,0.123,-10.477,0,0.061,120.01,4,0.716
63,215625,0.431,0.747,0.444,1.25e-06,0,0.106,-8.976,0,0.386,144.138,4,0.66
0,155200,0.000361,0.602,0.873,0.855,1,0.268,-5.683,0,0.0407,149.957,4,0.867
35,256738,0.0215,0.383,0.847,0.0691,9,0.225,-5.133,1,0.0518,141.971,4,0.542
12,195000,0.0897,0.499,0.94,7.28e-05,0,0.109,-2.741,1,0.0332,112.02,4,0.477
20,183173,0.0131,0.641,0.955,0.000145,0,0.0471,-3.313,1,0.128,150.032,4,0.929
58,160625,0.99,0.424,0.00528,0.943,7,0.0746,-31.853,1,0.0453,82.394,4,0.179
44,441360,0.476,0.544,0.657,0.0463,0,0.298,-7.457,0,0.0406,118.226,4,0.714
56,222866,0.0671,0.613,0.807,0,11,0.322,-2.739,0,0.0382,133.023,4,0.813
26,216560,0.00413,0.545,0.803,3.52e-06,0,0.144,-5.247,1,0.0603,160.199,4,0.374
79,210200,0.299,0.541,0.522,0,0,0.775,-5.997,1,0.044,129.853,4,0.255
40,297207,0.176,0.779,0.674,0.0242,11,0.362,-8.48,1,0.286,80.016,4,0.768
28,289306,0.725,0.493,0.378,4.26e-05,11,0.0923,-13.419,0,0.0426,183.018,4,0.0822
38,220573,0.571,0.778,0.75,0.000101,9,0.121,-5.052,1,0.0417,119.932,4,0.961
38,216613,0.00422,0.683,0.943,0.0978,9,0.0355,-3.6,1,0.0397,118.99,4,0.707
82,205463,0.173,0.661,0.412,0,0,0.113,-6.585,1,0.0409,85.932,4,0.299
63,223933,0.273,0.856,0.462,0,10,0.11,-7.478,1,0.059,108.012,4,0.714
67,198400,0.0207,0.849,0.38,0,1,0.0958,-8.788,1,0.441,155.96,4,0.423
66,305000,0.77,0.509,0.417,0.0946,10,0.0887,-9.632,1,0.0295,134.956,4,0.482
81,184133,0.102,0.737,0.792,0,11,0.0532,-4.117,0,0.0416,104.012,4,0.543
82,261640,0.272,0.508,0.72,0,11,0.0563,-5.908,0,0.0628,79.983,4,0.472
73,238148,0.238,0.5,0.77,0.00636,8,0.104,-5.059,1,0.0432,92.223,4,0.633
60,141066,0.104,0.59,0.659,6.56e-06,5,0.356,-9.669,1,0.0697,80.201,4,0.965
68,240000,0.379,0.928,0.675,0,5,0.0533,-3.535,1,0.0566,105.952,4,0.794
50,268466,0.0708,0.756,0.704,0.000103,4,0.0394,-8.93,0,0.0428,129.99,4,0.301
41,222120,0.0359,0.814,0.692,8.24e-06,5,0.039,-3.27,1,0.0524,127.018,4,0.966
65,195789,0.35,0.6,0.871,0,0,0.0584,-4.527,1,0.0492,113.967,4,0.511
37,207301,0.00891,0.71,0.705,0.16,7,0.177,-7.417,1,0.0345,119.986,4,0.34
51,206222,0.0712,0.617,0.721,6.61e-05,5,0.0867,-5.568,1,0.0375,134.974,4,0.422
55,176000,0.386,0.727,0.651,0.000291,6,0.119,-7.626,0,0.071,93.042,4,0.737
93,197546,0.0233,0.602,0.658,6e-05,1,0.237,-5.934,1,0.0558,145.031,4,0.268
63,203719,0.0704,0.61,0.848,0,9,0.344,-5.116,0,0.07,152.21,4,0.666
76,210080,0.882,0.592,0.416,0.000586,1,0.112,-9.794,1,0.0246,96.002,4,0.417
60,192026,0.00255,0.727,0.75,1.23e-06,1,0.116,-6.221,1,0.0392,124.98,4,0.354
60,198813,0.0279,0.774,0.847,0.0183,5,0.241,-3.925,0,0.121,143.011,4,0.923
20,188251,0.0151,0.577,0.781,0,5,0.179,-3.154,1,0.0315,124.012,4,0.424
53,285346,0.291,0.348,0.479,0.151,0,0.0988,-10.075,1,0.029,97.871,4,0.173
11,262733,0.000194,0.582,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674
74,213000,0.149,0.757,0.579,0,1,0.0543,-3.827,0,0.0809,99.968,4,0.56
74,122986,0.274,0.576,0.74,3e-06,0,0.0948,-6.195,1,0.0854,159.959,4,0.37
49,214333,0.182,0.588,0.543,0.000516,2,0.11,-10.596,1,0.0268,135.95,4,0.21
49,238257,0.77,0.577,0.663,0.176,9,0.0955,-7.714,0,0.0368,120.016,4,0.184
96,166605,0.258,0.74,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
85,201253,0.0882,0.694,0.852,0,7,0.334,-5.34,0,0.257,107.178,4,0.377
62,194098,0.0176,0.575,0.954,0.0506,1,0.0611,-3.093,0,0.0442,124.978,4,0.0882
72,316377,0.416,0.583,0.381,0.000226,9,0.0958,-10.033,0,0.0429,127.667,4,0.153
34,310800,0.693,0.665,0.604,6.43e-05,4,0.347,-10.364,1,0.13,135.591,3,0.708
0,220026,0.0319,0.888,0.502,0.00233,7,0.0542,-8.858,1,0.0935,90.481,4,0.576
38,219600,0.216,0.739,0.562,0,7,0.0556,-10.835,1,0.0544,165.314,4,0.894
66,251184,0.789,0.343,0.539,0.157,0,0.108,-9.72,0,0.0297,142.065,4,0.228
26,187885,0.384,0.612,0.559,0,1,0.38,-4.409,0,0.098,175.071,4,0.529
